o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1470,inf,9.75,3.2,12.67,16.78,-1200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,1200,303.1512,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1471,inf,9.75,3.2,12.67,16.78,50,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-50,303.1497,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1472,inf,9.75,3.2,12.67,16.78,100,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-100,303.1549,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1473,inf,9.75,3.2,12.67,16.78,150,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-150,303.1487,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1474,inf,9.75,3.2,12.67,16.78,200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-200,303.1488,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1475,inf,9.75,3.2,12.67,16.78,300,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-300,303.1477,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1476,inf,9.75,3.2,12.67,16.78,400,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-400,303.1487,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1477,inf,9.75,3.2,12.67,16.78,500,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-500,303.1499,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1478,inf,9.75,3.2,12.67,16.78,600,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-600,303.1501,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1479,inf,9.75,3.2,12.67,16.78,800,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-800,303.1513,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1480,inf,9.75,3.2,12.67,16.78,1000,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-1000,303.1526,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1481,inf,9.75,3.2,12.67,16.78,1200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-1200,303.15,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,1000,1482,inf,9.75,3.2,12.67,8.76,-50,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,50,303.1504,5.8265
