offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-2.291457286432159890e+02,1.200000000000000000e+03,2.024638125674649203e+01,0.000000000000000000e+00,2.093323836597964061e+01,0.000000000000000000e+00,9.995334965460687116e-01
-2.050251256281403585e+02,1.200000000000000000e+03,2.035211236363972276e+01,0.000000000000000000e+00,2.090506499726936696e+01,0.000000000000000000e+00,9.995346254956535281e-01
-1.809045226130651827e+02,1.200000000000000000e+03,2.044311412477328105e+01,0.000000000000000000e+00,2.087568174963871215e+01,0.000000000000000000e+00,9.995363288317241635e-01
-1.567839195979900069e+02,1.200000000000000000e+03,2.051898121817901455e+01,0.000000000000000000e+00,2.084518263974637264e+01,0.000000000000000000e+00,9.995386889752941872e-01
-1.326633165829143763e+02,1.200000000000000000e+03,2.057936711080556336e+01,0.000000000000000000e+00,2.081365763906570976e+01,0.000000000000000000e+00,9.995417219722896318e-01
-1.085427135678392006e+02,1.200000000000000000e+03,2.062397842407160198e+01,0.000000000000000000e+00,2.078118253046788411e+01,0.000000000000000000e+00,9.995451390434154648e-01
-8.442211055276357001e+01,1.200000000000000000e+03,2.065258412259290210e+01,0.000000000000000000e+00,2.074782448319056627e+01,0.000000000000000000e+00,9.995483230524985219e-01
-6.030150753768839422e+01,1.200000000000000000e+03,2.066505222022742672e+01,0.000000000000000000e+00,2.071367572524049905e+01,0.000000000000000000e+00,9.995509767784350741e-01
-3.618090452261276369e+01,1.200000000000000000e+03,2.066137643407938640e+01,0.000000000000000000e+00,2.067887755434470165e+01,0.000000000000000000e+00,9.995539043975391058e-01
-1.206030150753758790e+01,1.200000000000000000e+03,2.064159423808200344e+01,0.000000000000000000e+00,2.064353680884921260e+01,0.000000000000000000e+00,9.995575073318930803e-01
1.206030150753804264e+01,1.200000000000000000e+03,2.060579344749501018e+01,0.000000000000000000e+00,2.060773240211206314e+01,0.000000000000000000e+00,9.995616987247903928e-01
3.618090452261321843e+01,1.200000000000000000e+03,2.055414635729292527e+01,0.000000000000000000e+00,2.057154999813185370e+01,0.000000000000000000e+00,9.995664628936349327e-01
6.030150753768839422e+01,1.200000000000000000e+03,2.048689159528137793e+01,0.000000000000000000e+00,2.053506521108724314e+01,0.000000000000000000e+00,9.995716254672536438e-01
8.442211055276402476e+01,1.200000000000000000e+03,2.040429054166956391e+01,0.000000000000000000e+00,2.049830200547520320e+01,0.000000000000000000e+00,9.995763134158521801e-01
1.085427135678392006e+02,1.200000000000000000e+03,2.030668479732153742e+01,0.000000000000000000e+00,2.046129293050838172e+01,0.000000000000000000e+00,9.995802119994304791e-01
1.326633165829148311e+02,1.200000000000000000e+03,2.019455626061193954e+01,0.000000000000000000e+00,2.042414366391327718e+01,0.000000000000000000e+00,9.995843621870871276e-01
1.567839195979900069e+02,1.200000000000000000e+03,2.006844685709793197e+01,0.000000000000000000e+00,2.038695753277274036e+01,0.000000000000000000e+00,9.995894357162584676e-01
1.809045226130656374e+02,1.200000000000000000e+03,1.992892014755698327e+01,0.000000000000000000e+00,2.034980184076678711e+01,0.000000000000000000e+00,9.995953337227989621e-01
