o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1458,-3.9,9.75,3.2,9.87,25.36,-875,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,875,290.6469,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1459,-3.9,9.75,3.2,9.87,25.36,25,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-25,290.6498,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1460,-3.9,9.75,3.2,9.87,25.36,125,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-125,290.6479,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1461,-3.9,9.75,3.2,9.87,25.36,225,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-225,290.6508,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1462,-3.9,9.75,3.2,9.87,25.36,375,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-375,290.6499,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1463,-3.9,9.75,3.2,9.87,25.36,625,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-625,290.6508,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1464,-3.9,9.75,3.2,9.87,22.85,-75,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,75,290.6495,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1465,-3.9,9.75,3.2,9.87,22.85,-125,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,125,290.6484,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1466,-3.9,9.75,3.2,9.87,22.85,-175,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,175,290.6504,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1467,-3.9,9.75,3.2,9.87,22.85,-225,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,225,290.6495,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1468,-3.9,9.75,3.2,9.87,22.85,-275,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,275,290.6505,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1469,-3.9,9.75,3.2,9.87,22.85,-295,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,295,290.6501,8.0166
