o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1435,-3.42,9.78,3.2,11.57,15.16,-50,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,50,298.1487,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1436,-3.42,9.78,3.2,11.57,15.16,-100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,100,298.1496,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1437,-3.42,9.78,3.2,11.57,15.16,-150,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,150,298.1517,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1438,-3.42,9.78,3.2,11.57,15.16,-200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,200,298.1511,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1439,-3.42,9.78,3.2,11.57,15.16,-200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,200,298.1505,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1440,-3.42,9.78,3.2,11.57,15.16,-250,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,250,298.1487,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1441,-3.42,9.78,3.2,11.57,15.16,-300,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,300,298.1497,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1442,-3.42,9.78,3.2,11.57,15.16,-350,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,350,298.1497,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1443,-3.42,9.78,3.2,11.57,15.16,-400,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,400,298.1517,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1444,-3.42,9.78,3.2,11.57,15.16,-450,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,450,298.1528,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1445,-3.42,9.78,3.2,11.57,15.16,-500,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,500,298.1512,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1446,-3.42,9.78,3.2,11.57,15.16,-650,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,650,298.1495,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1447,-3.42,9.78,3.2,11.57,15.16,-800,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,800,298.15,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1448,-3.42,9.78,3.2,11.57,15.16,-950,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,950,298.1502,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1449,-3.42,9.78,3.2,11.57,15.16,-1100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,1100,298.1491,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1450,-3.42,9.78,3.2,11.57,15.16,50,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-50,298.1494,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1451,-3.42,9.78,3.2,11.57,15.16,100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-100,298.149,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1452,-3.42,9.78,3.2,11.57,15.16,250,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-250,298.1496,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1453,-3.42,9.78,3.2,11.57,15.16,400,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-400,298.15,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1454,-3.42,9.78,3.2,11.57,15.16,550,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-550,298.15,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1455,-3.42,9.78,3.2,11.57,15.16,700,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-700,298.1496,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1456,-3.42,9.78,3.2,11.57,15.16,850,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-850,298.1494,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1457,-3.42,9.78,3.2,11.57,15.16,1000,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-1000,298.1495,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1458,-3.42,9.78,3.2,11.57,15.16,1200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-1200,298.1509,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,600,1459,-3.42,9.78,3.2,11.57,11.62,-50,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,50,298.1503,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,600,1460,-3.42,9.78,3.2,11.57,11.62,-100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,100,298.1525,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,600,1461,-3.42,9.78,3.2,11.57,11.62,-150,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,150,298.1496,5.6312
