offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
4.221105527638201238e+01,2.000000000000000000e+02,-6.941396624922601859e+02,-6.941396624922601859e+02,-1.597377412515834294e+01,-1.597377412515834294e+01,-2.372900112898435765e+01,-6.813852846361780848e+02,-1.901348802485353318e+01,-1.164724298757325016e+01,-1.164724298757325016e+01
1.206030150753758612e+01,2.000000000000000000e+02,-6.942286663845540033e+02,-6.942286663845540033e+02,-1.565958744489969945e+01,-1.565958744489969945e+01,-6.814407442306326175e+02,-2.412390711045905789e+01,-1.967271707635073597e+01,-1.131762846182462923e+01,-1.131762846182462923e+01
-1.809045226130683659e+01,2.000000000000000000e+02,-6.943072683698680976e+02,-6.943072683698680976e+02,-1.574604428563486636e+01,-1.574604428563486636e+01,-2.362424127517231298e+01,-6.816102924138211847e+02,-1.959682795748891593e+01,-1.135557302125567958e+01,-1.135557302125567958e+01
-4.824120603015080633e+01,2.000000000000000000e+02,-6.943767966555407156e+02,-6.943767966555407156e+02,-1.621365851276550529e+01,-1.621365851276550529e+01,-2.230012480526187701e+01,-6.818601238581277357e+02,-1.175145193020733814e+01,-1.175145193020733814e+01,-1.880507013958532170e+01
-7.839195979899523081e+01,2.000000000000000000e+02,-6.944384499814440233e+02,-6.944384499814440233e+02,-1.695298295579692649e+01,-1.695298295579692649e+01,-2.041139989184205561e+01,-6.821468932336748594e+02,-1.241194235207592556e+01,-1.241194235207592556e+01,-1.748408929584800831e+01
-1.085427135678392006e+02,2.000000000000000000e+02,-6.944932784417960647e+02,-6.944932784417960647e+02,-1.782220148531507675e+01,-1.782220148531507675e+01,-1.827887182471762628e+01,-6.824313273210618718e+02,-1.320894130660957444e+01,-1.320894130660957444e+01,-1.589009138678098232e+01
-1.386934673366836250e+02,2.000000000000000000e+02,-6.945421884133893400e+02,-6.945421884133893400e+02,-1.870202871822552027e+01,-1.870202871822552027e+01,-1.616581825062987932e+01,-6.826869064861418792e+02,-1.403009003408965327e+01,-1.403009003408965327e+01,-1.424779393182070208e+01
-1.688442211055275948e+02,2.000000000000000000e+02,-6.945859566690766087e+02,-6.945859566690766087e+02,-1.951820555735888263e+01,-1.951820555735888263e+01,-1.423178299821946169e+01,-6.829010515489080717e+02,-1.270373163994143084e+01,-1.480212118002924626e+01,-1.480212118002924626e+01
-1.989949748743720193e+02,2.000000000000000000e+02,-6.946252469796970672e+02,-6.946252469796970672e+02,-2.023711274500790580e+01,-2.023711274500790580e+01,-1.254482009811018450e+01,-6.830716194524790126e+02,-1.548929346895451076e+01,-1.548929346895451076e+01,-1.132938706209105995e+01
-2.291457286432159890e+02,2.000000000000000000e+02,-6.946606262962154688e+02,-6.946606262962154688e+02,-2.085172712563826281e+01,-2.085172712563826281e+01,-1.111405264129297876e+01,-6.832023995149980919e+02,-1.608160983189600302e+01,-1.608160983189600302e+01,-1.014475433620818201e+01
-2.592964824120604135e+02,2.000000000000000000e+02,-6.946925793642233202e+02,-6.946925793642233202e+02,-2.136887588861100085e+01,-2.136887588861100085e+01,-9.918629358224229975e+00,-6.832996191361064575e+02,-1.658319885068829080e+01,-1.658319885068829080e+01,-9.141576298623473207e+00
-2.894472361809048380e+02,2.000000000000000000e+02,-6.947215214356651813e+02,-6.947215214356651813e+02,-2.180092127254965817e+01,-2.180092127254965817e+01,-8.926414541968867411e+00,-6.833698590415986018e+02,-1.700434193572374397e+01,-1.700434193572374397e+01,-8.299290128552620160e+00
-3.195979899497488077e+02,2.000000000000000000e+02,-6.947478091055725145e+02,-6.947478091055725145e+02,-2.216127722665225974e+01,-2.216127722665225974e+01,-8.103929956137042367e+00,-6.834190563794121545e+02,-1.735697050152310794e+01,-1.735697050152310794e+01,-7.594032996953338888e+00
-3.497487437185931753e+02,2.000000000000000000e+02,-6.947717494495655046e+02,-6.947717494495655046e+02,-2.246236266343169063e+01,-2.246236266343169063e+01,-7.420773420926104258e+00,-6.834521613530782815e+02,-1.765248853745572433e+01,-1.765248853745572433e+01,-7.002996925088649682e+00
-3.798994974874372019e+02,2.000000000000000000e+02,-6.947936076842740931e+02,-6.947936076842740931e+02,-2.271487408749464976e+01,-2.271487408749464976e+01,-6.851072513948551546e+00,-6.834731229425148058e+02,-1.790091043135845439e+01,-1.790091043135845439e+01,-6.506153137282926657e+00
-4.100502512562816264e+02,2.000000000000000000e+02,-6.948136135725997065e+02,-6.948136135725997065e+02,-2.292769106470814222e+01,-2.292769106470814222e+01,-6.373538784060460927e+00,-6.834850109413235941e+02,-1.811065988955010653e+01,-1.811065988955010653e+01,-6.086654220898923384e+00
-4.402010050251255961e+02,2.000000000000000000e+02,-6.948319667760131324e+02,-6.948319667760131324e+02,-2.310804530281302505e+01,-2.310804530281302505e+01,-5.970959444733590971e+00,-6.834901753976154168e+02,-1.828866327647085654e+01,-1.828866327647085654e+01,-5.730647447058962562e+00
-4.703517587939700206e+02,2.000000000000000000e+02,-6.948488413297807256e+02,-6.948488413297807256e+02,-2.326177239228218241e+01,-2.326177239228218241e+01,-5.629532286565991583e+00,-6.834903992693086821e+02,-1.844055016163724758e+01,-1.844055016163724758e+01,-5.426873676725581852e+00
-5.005025125628144451e+02,2.000000000000000000e+02,-6.948643893903774824e+02,-6.948643893903774824e+02,-2.339356544912595837e+01,-2.339356544912595837e+01,-5.338220995344897801e+00,-6.834870283256468610e+02,-1.857087318576441248e+01,-1.857087318576441248e+01,-5.166227628470614341e+00
-5.306532663316584149e+02,2.000000000000000000e+02,-6.948787443797550623e+02,-6.948787443797550623e+02,-2.350719948286439376e+01,-2.350719948286439376e+01,-5.088195854108788829e+00,-6.834810754206513366e+02,-1.868331036217955443e+01,-1.868331036217955443e+01,-4.941353275641251486e+00
-5.608040201005023846e+02,2.000000000000000000e+02,-6.948920236298813506e+02,-6.948920236298813506e+02,-2.360571826222042091e+01,-2.360571826222042091e+01,-4.872373648796892276e+00,-6.834733015669982024e+02,-1.878083754738838707e+01,-1.878083754738838707e+01,-4.746298905223709674e+00
-5.909547738693472638e+02,2.000000000000000000e+02,-6.949043306127744017e+02,-6.949043306127744017e+02,-2.369158516645825330e+01,-2.369158516645825330e+01,-4.685049591365647359e+00,-6.834642778501706744e+02,-1.886586986705242452e+01,-1.886586986705242452e+01,-4.576234265895382514e+00
-6.211055276381912336e+02,2.000000000000000000e+02,-6.949157568262262430e+02,-6.949157568262262430e+02,-2.376680296729182373e+01,-2.376680296729182373e+01,-4.521607167151652007e+00,-6.834544322458141323e+02,-1.894037528373826262e+01,-1.894037528373826262e+01,-4.427223432524147739e+00
-6.512562814070352033e+02,2.000000000000000000e+02,-2.383300815676352613e+01,-2.383300815676352613e+01,-6.949263833928953318e+02,-6.949263833928953318e+02,-4.378291053744400863e+00,-6.834440848469419052e+02,-1.900596479086746626e+01,-1.900596479086746626e+01,-4.296044418265243081e+00
-6.814070351758791730e+02,2.000000000000000000e+02,-2.389154498392724690e+01,-2.389154498392724690e+01,-6.949362824202571574e+02,-6.949362824202571574e+02,-4.252029869680396423e+00,-6.834334743219519623e+02,-1.906396367101910982e+01,-1.906396367101910982e+01,-4.180046657962268597e+00
-7.115577889447240523e+02,2.000000000000000000e+02,-2.394352355224714302e+01,-2.394352355224714302e+01,-6.949455181605137568e+02,-6.949455181605137568e+02,-4.140297784816953985e+00,-6.834227777896595626e+02,-1.911546770521181315e+01,-1.911546770521181315e+01,-4.077038589576884142e+00
-7.417085427135680220e+02,2.000000000000000000e+02,-2.398986548926927753e+01,-2.398986548926927753e+01,-6.949541480027191938e+02,-6.949541480027191938e+02,-4.041006245523814044e+00,-6.834121257704995287e+02,-1.916138754460871496e+01,-1.916138754460871496e+01,-3.985198910782062676e+00
-7.718592964824118781e+02,2.000000000000000000e+02,-2.403133995593361760e+01,-2.403133995593361760e+01,-6.949622233237726050e+02,-6.949622233237726050e+02,-3.952418982209493947e+00,-6.834016134583755502e+02,-1.920248381694614181e+01,-1.920248381694614181e+01,-3.903006366107545588e+00
-8.020100502512559615e+02,2.000000000000000000e+02,-2.406859214831229110e+01,-2.406859214831229110e+01,-6.949697902204463844e+02,-6.949697902204463844e+02,-3.873085021577030052e+00,-6.833913092409075034e+02,-1.923939499272296416e+01,-1.923939499272296416e+01,-3.829184014554113169e+00
-8.321608040201008407e+02,2.000000000000000000e+02,-2.410216595554379637e+01,-2.410216595554379637e+01,-6.949768901407194335e+02,-6.949768901407194335e+02,-3.801785649595328831e+00,-6.833812611578761107e+02,-1.927265959040005328e+01,-1.927265959040005328e+01,-3.762654819199205303e+00
-8.623115577889448105e+02,2.000000000000000000e+02,-2.413252205627350122e+01,-2.413252205627350122e+01,-6.949835604298018552e+02,-6.949835604298018552e+02,-3.737492217206303202e+00,-6.833715018106453272e+02,-1.930273394648889962e+01,-1.930273394648889962e+01,-3.702506107021111159e+00
-8.924623115577887802e+02,2.000000000000000000e+02,-2.416005244175062217e+01,-2.416005244175062217e+01,-6.949898348035188747e+02,-6.949898348035188747e+02,-3.679332405302971232e+00,-6.833620521041594884e+02,-1.933000650063513604e+01,-1.933000650063513604e+01,-3.647960998729057547e+00
-9.226130653266336594e+02,2.000000000000000000e+02,-2.418509212822573318e+01,-2.418509212822573318e+01,-6.949957437598559409e+02,-6.949957437598559409e+02,-3.626563117643339940e+00,-6.833529241061945640e+02,-1.935480933240933155e+01,-1.935480933240933155e+01,-3.598355335180739356e+00
-9.527638190954776292e+02,2.000000000000000000e+02,-2.420792864876898420e+01,-2.420792864876898420e+01,-6.950013149375434978e+02,-6.950013149375434978e+02,-3.578548590564744281e+00,-6.833441232368105602e+02,-1.937742752208595221e+01,-1.937742752208595221e+01,-3.553118955828492354e+00
-9.829145728643214852e+02,2.000000000000000000e+02,-2.422880978267266983e+01,-2.422880978267266983e+01,-6.950065734293063997e+02,-6.950065734293063997e+02,-3.534742628188966673e+00,-6.833356499478541082e+02,-1.939810678116941745e+01,-1.939810678116941745e+01,-3.511760437661278100e+00
-1.013065326633165569e+03,2.000000000000000000e+02,-2.424794987954987846e+01,-2.424794987954987846e+01,-6.950115420561085102e+02,-6.950115420561085102e+02,-6.833275010129224256e+02,-3.494674115765599165e+00,-1.941705970106795576e+01,-1.941705970106795576e+01,-3.473854597865356553e+00
-1.043216080402010448e+03,2.000000000000000000e+02,-2.426553505758374740e+01,-2.426553505758374740e+01,-6.950162416078219394e+02,-6.950162416078219394e+02,-3.457935150355750054e+00,-6.833196705188297528e+02,-1.943447089320466148e+01,-1.943447089320466148e+01,-3.439032213591127984e+00
-1.073366834170854418e+03,2.000000000000000000e+02,-2.428172749564851074e+01,-2.428172749564851074e+01,-6.950206910549086388e+02,-6.950206910549086388e+02,-3.424171271216631229e+00,-6.833121506276637547e+02,-1.945050123585929214e+01,-1.945050123585929214e+01,-3.406971528281489636e+00
-1.103517587939698387e+03,2.000000000000000000e+02,-2.429666899274502612e+01,-2.429666899274502612e+01,-6.950249077349537856e+02,-6.950249077349537856e+02,-3.393073382540811700e+00,-6.833049321620648016e+02,-1.946529139799008590e+01,-1.946529139799008590e+01,-3.377391204020628646e+00
-1.133668341708543267e+03,2.000000000000000000e+02,-2.431048393234959804e+01,-2.431048393234959804e+01,-6.950289075174157460e+02,-6.950289075174157460e+02,-3.364371046515685748e+00,-6.832980050539516697e+02,-1.947896477530048287e+01,-1.947896477530048287e+01,-3.350044449400956470e+00
-1.163819095477387236e+03,2.000000000000000000e+02,-2.432328176128407904e+01,-2.432328176128407904e+01,-6.950327049494731000e+02,-6.950327049494731000e+02,-3.337826890927207746e+00,-6.832913586875572491e+02,-1.949162994644257196e+01,-1.949162994644257196e+01,-3.324714107113588391e+00
-1.193969849246231206e+03,2.000000000000000000e+02,-2.433515907081414298e+01,-2.433515907081414298e+01,-6.950363133852883948e+02,-6.950363133852883948e+02,-3.313231927264818300e+00,-6.832849821605210536e+02,-1.950338273581314752e+01,-1.950338273581314752e+01,-3.301208528373890783e+00
-1.224120603015075176e+03,2.000000000000000000e+02,-2.434620135050386125e+01,-2.434620135050386125e+01,-6.950397451009148426e+02,-6.950397451009148426e+02,-3.290401615791965551e+00,-6.832788644813725796e+02,-1.951430795245801164e+01,-1.951430795245801164e+01,-3.279358095082884450e+00
-1.254271356783920055e+03,2.000000000000000000e+02,-2.435648447173093700e+01,-2.435648447173093700e+01,-6.950430113964816883e+02,-6.950430113964816883e+02,-3.269172545966425147e+00,-6.832729947176040923e+02,-1.952448086132949356e+01,-1.952448086132949356e+01,-3.259012277339333075e+00
-1.284422110552764025e+03,2.000000000000000000e+02,-2.436607594698989487e+01,-2.436607594698989487e+01,-6.950461226874299427e+02,-6.950461226874299427e+02,-3.249399625809979764e+00,-6.832673621053457964e+02,-1.953396843243393732e+01,-1.953396843243393732e+01,-3.240037135130607648e+00
-1.314572864321607994e+03,2.000000000000000000e+02,-2.437503600255513447e+01,-2.437503600255513447e+01,-6.950490885859032915e+02,-6.950490885859032915e+02,-3.230953693860790565e+00,-6.832619561292173103e+02,-1.954283040502855329e+01,-1.954283040502855329e+01,-3.222313189943704970e+00
-1.344723618090451964e+03,2.000000000000000000e+02,-2.438341849518383242e+01,-2.438341849518383242e+01,-6.950519179736313617e+02,-6.950519179736313617e+02,-6.832567665790511455e+02,-1.955112019721377692e+01,-1.955112019721377692e+01,-3.213719483323237203e+00,-3.205733605571417844e+00
-1.374874371859296843e+03,2.000000000000000000e+02,-2.439127169802395656e+01,-2.439127169802395656e+01,-6.950546190672248485e+02,-6.950546190672248485e+02,-3.197593880809609601e+00,-6.832517835886903868e+02,-1.955888568586351539e+01,-1.955888568586351539e+01,-3.190202628273415719e+00
-1.405025125628140813e+03,2.000000000000000000e+02,-2.439863897649911451e+01,-2.439863897649911451e+01,-6.950571994768288278e+02,-6.950571994768288278e+02,-6.832469976609741025e+02,-1.956616987738743774e+01,-1.956616987738743774e+01,-3.182484432369658389e+00,-3.175634245225301466e+00
